Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Graugans - Anser anser,,Lange Lacke,AT-1,20 May 2015,L1103773,S27828024
2,Blässgans - Anser albifrons,,Lange Lacke,AT-1,11 Dec 2015,L1103773,S27831909
3,Höckerschwan - Cygnus olor,,Zicksee,AT-1,11 Dec 2015,L1776021,S27831963
4,Nilgans - Alopochen aegyptiaca,2,Sandeck,AT-1,30 Apr 2017,L5797160,S36614370
5,Brandgans - Tadorna tadorna,,Lange Lacke,AT-1,11 Dec 2015,L1103773,S27831909
6,Knäkente - Spatula querquedula,,Warmblueterkoppel,AT-1,28 Apr 2017,L1647202,S36611824
7,Löffelente - Spatula clypeata,,Zicklacke,AT-1,28 Apr 2017,L1775989,S36612269
8,Schnatterente - Mareca strepera,,Lange Lacke,AT-1,11 Dec 2015,L1103773,S27831909
9,Pfeifente - Mareca penelope,,Warmblueterkoppel,AT-1,21 May 2015,L1647202,S27828666
10,Stockente - Anas platyrhynchos,,Zicksee,AT-1,20 May 2015,L1776021,S27827970
11,Spieβente - Anas acuta,,Lange Lacke,AT-1,11 Dec 2015,L1103773,S27831909
12,Krickente (Eurasisch und Amerikanisch) - Anas crecca,,Lange Lacke,AT-1,11 Dec 2015,L1103773,S27831909
13,Kolbenente - Netta rufina,,Zicksee,AT-1,20 May 2015,L1776021,S27827970
14,Tafelente - Aythya ferina,,Zicksee,AT-1,20 May 2015,L1776021,S27827970
15,Moorente - Aythya nyroca,,Warmblueterkoppel,AT-1,21 May 2015,L1647202,S27828666
16,Reiherente - Aythya fuligula,,Zicklacke,AT-1,28 Apr 2017,L1775989,S36612269
17,Bergente - Aythya marila,,Zicklacke,AT-1,22 May 2015,L1775989,S27828845
18,Jagdfasan - Phasianus colchicus,,Gols,AT-1,20 May 2015,L4312168,S27827277
19,Zwergtaucher - Tachybaptus ruficollis,,Zicklacke,AT-1,22 May 2015,L1775989,S27828845
20,Haubentaucher - Podiceps cristatus,,Warmblueterkoppel,AT-1,21 May 2015,L1647202,S27828666
21,Weiβstorch - Ciconia ciconia,,Gols,AT-1,20 May 2015,L4312168,S27827277
22,Zwergscharbe - Microcarbo pygmeus,,Warmblueterkoppel,AT-1,22 May 2015,L1647202,S27828806
23,Kormoran - Phalacrocorax carbo,,Lange Lacke,AT-1,11 Dec 2015,L1103773,S27831909
24,Rohrdommel - Botaurus stellaris,,Nationalpark Neusiedler See,AT-1,21 May 2015,L1103772,S27828709
25,Zwergdommel - Ixobrychus minutus,1,Illmitz Seebad,AT-1,29 Apr 2017,L1776010,S36612317
26,Graureiher - Ardea cinerea,,Bewahrungszone Waasen-Hanság,AT-1,20 May 2015,L2243971,S27827915
27,Purpurreiher - Ardea purpurea,,Zicklacke,AT-1,22 May 2015,L1775989,S27828845
28,Silberreiher - Ardea alba,,Lange Lacke,AT-1,20 May 2015,L1103773,S27828024
29,Seidenreiher - Egretta garzetta,,Warmblueterkoppel,AT-1,21 May 2015,L1647202,S27828666
30,östlicher Kaiseradler - Aquila heliaca,,Bewahrungszone Waasen-Hanság,AT-1,22 May 2015,L2243971,S27828783
31,Rohrweihe - Circus aeruginosus,,Gols,AT-1,20 May 2015,L4312168,S27827277
32,Kornweihe - Circus cyaneus,,Lange Lacke,AT-1,11 Dec 2015,L1103773,S27831909
33,Wiesenweihe - Circus pygargus,,Bewahrungszone Waasen-Hanság,AT-1,20 May 2015,L2243971,S27827915
34,Sperber - Accipiter nisus,1,Hansag,AT-1,30 Apr 2017,L1793956,S36614267
35,Seeadler - Haliaeetus albicilla,1,Lange Lacke,AT-1,11 Dec 2015,L1103773,S27831909
36,Raufuβbussard - Buteo lagopus,1,Bewahrungszone Waasen-Hanság,AT-1,11 Dec 2015,L2243971,S27832009
37,Mäusebussard - Buteo buteo,,Gols,AT-1,20 May 2015,L4312168,S27827277
38,Groβtrappe - Otis tarda,,Bewahrungszone Waasen-Hanság,AT-1,20 May 2015,L2243971,S27827915
39,Teichhuhn - Gallinula chloropus,,Warmblueterkoppel,AT-1,22 May 2015,L1647202,S27828806
40,Blässhuhn - Fulica atra,,Lange Lacke,AT-1,21 May 2015,L1103773,S27828194
41,Stelzenläufer - Himantopus himantopus,,Lange Lacke,AT-1,21 May 2015,L1103773,S27828194
42,Säbelschnäbler - Recurvirostra avosetta,,Zicklacke,AT-1,28 Apr 2017,L1775989,S36612269
43,Kiebitz - Vanellus vanellus,,Warmblueterkoppel,AT-1,28 Apr 2017,L1647202,S36612305
44,Seeregenpfeifer - Charadrius alexandrinus,,Zicklacke,AT-1,21 May 2015,L1775989,S27828578
45,Sandregenpfeifer - Charadrius hiaticula,,Zicklacke,AT-1,21 May 2015,L1775989,S27828578
46,Flussregenpfeifer - Charadrius dubius,,Warmblueterkoppel,AT-1,21 May 2015,L1647202,S27828666
47,Regenbrachvogel - Numenius phaeopus,1,Hansag,AT-1,30 Apr 2017,L1793956,S36614267
48,Groβer Brachvogel - Numenius arquata,,Bewahrungszone Waasen-Hanság,AT-1,22 May 2015,L2243971,S27828783
49,Uferschnepfe - Limosa limosa,,Lange Lacke,AT-1,21 May 2015,L1103773,S27828194
50,Steinwälzer - Arenaria interpres,,Zicklacke,AT-1,21 May 2015,L1775989,S27828578
51,Kampfläufer - Calidris pugnax,,Zicklacke,AT-1,21 May 2015,L1775989,S27828578
52,Temminckstrandläufer - Calidris temminckii,,Zicklacke,AT-1,28 Apr 2017,L1775989,S36612269
53,Alpenstrandläufer - Calidris alpina,,Zicklacke,AT-1,22 May 2015,L1775989,S27828845
54,Zwergstrandläufer - Calidris minuta,,Zicklacke,AT-1,28 Apr 2017,L1775989,S36612269
55,Flussuferläufer - Actitis hypoleucos,5,Warmblueterkoppel,AT-1,28 Apr 2017,L1647202,S36611824
