Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Mountain Bamboo-Partridge - Bambusicola fytchii,2,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
2,Hume's Pheasant - Syrmaticus humiae,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
3,Barred Cuckoo-Dove - Macropygia unchall,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
4,Cook's Swift - Apus cooki,10,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
5,Mountain Hawk-Eagle - Nisaetus nipalensis,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
6,Blue-bearded Bee-eater - Nyctyornis athertoni,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
7,Speckled Piculet - Picumnus innominatus,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
8,Crimson-breasted Woodpecker - Dryobates cathpharius,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
9,Bay Woodpecker - Blythipicus pyrrhotis,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
10,Indochinese Cuckooshrike - Lalage polioptera,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
11,Crested Finchbill - Spizixos canifrons,8,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
12,Hume's Warbler - Phylloscopus humei,2,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
13,Pallas's Leaf Warbler - Phylloscopus proregulus,2,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
14,Greenish Warbler - Phylloscopus trochiloides,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
15,Davison's Leaf Warbler - Phylloscopus intensior,3,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
16,Black-throated Tit - Aegithalos concinnus,6,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
17,Gray-headed Parrotbill - Psittiparus gularis,7,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
18,Spot-breasted Parrotbill - Paradoxornis guttaticollis,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
19,Rusty-cheeked Scimitar-Babbler - Megapomatorhinus erythrogenys,7,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
20,Himalayan Cutia - Cutia nipalensis,4,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
21,White-necked Laughingthrush - Garrulax strepitans,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
22,Eyebrowed Thrush - Turdus obscurus,4,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
23,Pale Blue Flycatcher - Cyornis unicolor,2,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
24,White-bellied Redstart - Luscinia phaenicuroides,5,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
25,Slaty-blue Flycatcher - Ficedula tricolor,3,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
26,Rufous-gorgeted Flycatcher - Ficedula strophiata,2,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
27,Chestnut-bellied Rock-Thrush - Monticola rufiventris,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,20 Nov 2019,L1867725,S61598407
28,Giant Nuthatch - Sitta magna,3,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,19 Nov 2019,L1867725,S61575823
29,Ultramarine Flycatcher - Ficedula superciliaris,1,"Doi Pha Hom Pok NP--Doi Lang (western slope), AKA Doi San Ju",TH-50,19 Nov 2019,L1867725,S61575823
30,Siberian Rubythroat - Calliope calliope,6,Nam Kham Nature Reserve,TH-57,19 Nov 2019,L3321319,S61571158
31,Eastern Marsh-Harrier - Circus spilonotus,10,Wiang Nong Lom--Wat Pa Mak No,TH-57,18 Nov 2019,L8338352,S61549260
32,Pied Harrier - Circus melanoleucos,5,Wiang Nong Lom--Wat Pa Mak No,TH-57,18 Nov 2019,L8338352,S61549260
33,Gray-throated Martin - Riparia chinensis,6,Wiang Nong Lom--Wat Pa Mak No,TH-57,18 Nov 2019,L8338352,S61549260
34,Rufous-winged Buzzard - Butastur liventer,1,Nong Bong Khai Non-hunting Area--headquarters vicinity,TH-57,18 Nov 2019,L921175,S61549266
35,Indian Spot-billed Duck - Anas poecilorhyncha,5,Nong Bong Khai Non-hunting Area--headquarters vicinity,TH-57,18 Nov 2019,L921175,S61547754
36,Gray-headed Swamphen - Porphyrio poliocephalus,10,Nong Bong Khai Non-hunting Area--headquarters vicinity,TH-57,18 Nov 2019,L921175,S61547754
37,Chestnut-capped Babbler - Timalia pileata,2,Tha Ton paddies--The water tower vicinity,TH-50,17 Nov 2019,L921137,S61514917
38,Black-collared Starling - Gracupica nigricollis,20,Tha Ton paddies--The water tower vicinity,TH-50,17 Nov 2019,L921137,S61514917
39,Chestnut-tailed Starling - Sturnia malabarica,20,Tha Ton paddies--The water tower vicinity,TH-50,17 Nov 2019,L921137,S61514917
40,Yellow-vented Flowerpecker - Dicaeum chrysorrheum,1,Doi Inthanon NP--Blossom-headed Parakeet Conservation Area,TH-50,16 Nov 2019,L2514883,S61480184
41,Yellow-bellied Warbler - Abroscopus superciliaris,4,Doi Inthanon NP--Mae Klang Luang,TH-50,16 Nov 2019,L6527133,S61478971
42,Blue-throated Flycatcher - Cyornis rubeculoides,2,Doi Inthanon NP--Mae Klang Luang,TH-50,16 Nov 2019,L6527133,S61478971
43,Slaty-bellied Tesia - Tesia olivea,1,Doi Inthanon NP--Mae Ouam (Km 34.5),TH-50,15 Nov 2019,L971578,S61460877
44,Rufous-bellied Niltava - Niltava sundara,1,Doi Inthanon NP--Mae Ouam (Km 34.5),TH-50,15 Nov 2019,L971578,S61460877
45,Besra - Accipiter virgatus,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
46,Gray-capped Woodpecker - Yungipicus canicapillus,2,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
47,Stripe-breasted Woodpecker - Dendrocopos atratus,3,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
48,Lesser Yellownape - Picus chlorolophus,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
49,Greater Yellownape - Chrysophlegma flavinucha,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
50,Clicking Shrike-Babbler - Pteruthius intermedius,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
51,White-bellied Erpornis - Erpornis zantholeuca,3,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
52,Pygmy Cupwing - Pnoepyga pusilla,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
53,Asian House-Martin - Delichon dasypus,2,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
54,Striated Bulbul - Pycnonotus striatus,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
55,Mountain Tailorbird - Phyllergates cucullatus,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
56,Swinhoe's White-eye - Zosterops simplex,6,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
57,Coral-billed Scimitar-Babbler - Pomatorhinus ferruginosus,2,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
58,Rufous-backed Sibia - Minla annectens,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
59,Spectacled Barwing - Actinodura ramsayi,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
60,White-gorgeted Flycatcher - Anthipes monileger,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
61,Small Niltava - Niltava macgrigoriae,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
62,Sapphire Flycatcher - Ficedula sapphira,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
63,Fire-breasted Flowerpecker - Dicaeum ignipectus,1,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
64,Black-throated Sunbird - Aethopyga saturata,2,Doi Inthanon NP--Ban Mae Ya Noi,TH-50,15 Nov 2019,L9854250,S61458513
65,Rosy Minivet - Pericrocotus roseus,1,Chiang Dao Wildlife Sanctuary--headquarters,TH-50,14 Nov 2019,L6696794,S61434696
66,Velvet-fronted Nuthatch - Sitta frontalis,2,Chiang Dao Wildlife Sanctuary--headquarters,TH-50,14 Nov 2019,L6696794,S61434696
67,Himalayan Swiftlet - Aerodramus brevirostris,20,Chiang Dao Wildlife Sanctuary--Wat Tham Pha Plong,TH-50,14 Nov 2019,L1059220,S61433794
68,Lesser Racket-tailed Drongo - Dicrurus remifer,1,Chiang Dao Wildlife Sanctuary--Wat Tham Pha Plong,TH-50,14 Nov 2019,L1059220,S61433794
69,Gray-backed Shrike - Lanius tephronotus,1,Chiang Dao Wildlife Sanctuary--Wat Tham Pha Plong,TH-50,14 Nov 2019,L1059220,S61433794
70,Striated Swallow - Cecropis striolata,2,Chiang Dao Wildlife Sanctuary--Wat Tham Pha Plong,TH-50,14 Nov 2019,L1059220,S61433794
71,Golden-fronted Leafbird - Chloropsis aurifrons,2,Chiang Dao Wildlife Sanctuary--Wat Tham Pha Plong,TH-50,14 Nov 2019,L1059220,S61433794
72,Blyth's Shrike-Babbler - Pteruthius aeralatus,1,Doi Inthanon NP--Khun Wang,TH-50,13 Nov 2019,L4064309,S61408345
73,Gray-eyed Bulbul - Iole propinqua,3,Doi Inthanon NP--Khun Wang,TH-50,13 Nov 2019,L4064309,S61408345
74,Blue-winged Minla - Actinodura cyanouroptera,2,Doi Inthanon NP--Khun Wang,TH-50,13 Nov 2019,L4064309,S61408345
75,Oriental Turtle-Dove - Streptopelia orientalis,1,Doi Inthanon NP--Khun Wang,TH-50,13 Nov 2019,L4064309,S61407773
